CMDLINE C:\Users\Nata\anaconda\envs\opt_project\python.exe yoga-pose-classification-v0.py
MEM 1217.328125 1767781904.5604
MEM 1232.953125 1767781904.6610
MEM 1210.664062 1767781904.7625
MEM 1213.011719 1767781904.8641
MEM 1217.125000 1767781904.9659
MEM 1216.976562 1767781905.0665
MEM 1219.578125 1767781905.1668
MEM 1223.457031 1767781905.2688
MEM 1217.917969 1767781905.3704
MEM 1217.917969 1767781905.4711
MEM 1217.917969 1767781905.5717
MEM 1217.917969 1767781905.6735
MEM 1208.921875 1767781905.7741
MEM 1223.457031 1767781905.8765
MEM 1240.660156 1767781905.9781
MEM 1210.664062 1767781906.0792
MEM 1213.574219 1767781906.1797
MEM 1223.878906 1767781906.2818
MEM 1216.980469 1767781906.3851
MEM 1218.667969 1767781906.4855
MEM 1222.183594 1767781906.5860
MEM 1217.921875 1767781906.6871
MEM 1217.921875 1767781906.7881
MEM 1217.921875 1767781906.8907
MEM 1208.925781 1767781906.9923
MEM 1211.136719 1767781907.0938
MEM 1211.273438 1767781907.1954
MEM 1212.960938 1767781907.2979
MEM 1216.441406 1767781907.3989
MEM 1219.281250 1767781907.4999
MEM 1211.175781 1767781907.6015
MEM 1213.566406 1767781907.7021
MEM 1217.925781 1767781907.8029
MEM 1217.925781 1767781907.9050
MEM 1217.925781 1767781908.0055
MEM 1217.925781 1767781908.1067
MEM 1209.503906 1767781908.2080
MEM 1213.089844 1767781908.3089
MEM 1214.128906 1767781908.4097
MEM 1217.714844 1767781908.5105
MEM 1223.000000 1767781908.6128
MEM 1211.179688 1767781908.7135
MEM 1211.179688 1767781908.8142
MEM 1213.570312 1767781908.9159
MEM 1217.929688 1767781909.0179
MEM 1217.929688 1767781909.1188
MEM 1217.929688 1767781909.2194
MEM 1208.925781 1767781909.3215
MEM 1210.710938 1767781909.4367
MEM 1212.960938 1767781909.5513
MEM 1215.273438 1767781909.6608
MEM 1219.718750 1767781909.7726
MEM 1211.183594 1767781909.8729
MEM 1211.183594 1767781909.9764
MEM 1217.933594 1767781910.0825
MEM 1216.914062 1767781910.1842
MEM 1217.933594 1767781910.2851
MEM 1217.871094 1767781910.3875
MEM 1210.078125 1767781910.5033
MEM 1212.953125 1767781910.6084
MEM 1215.664062 1767781910.7095
MEM 1217.917969 1767781910.8160
MEM 1221.250000 1767781910.9263
MEM 1245.347656 1767781911.0274
MEM 1225.816406 1767781911.1451
MEM 1226.519531 1767781911.2521
MEM 1217.871094 1767781911.3537
MEM 1208.867188 1767781911.4588
MEM 1210.046875 1767781911.5739
MEM 1236.992188 1767781911.6892
MEM 1259.539062 1767781911.7932
MEM 1215.425781 1767781911.9078
MEM 1218.050781 1767781912.0206
MEM 1254.015625 1767781912.1358
MEM 1273.882812 1767781912.2409
MEM 1217.875000 1767781912.3449
MEM 1217.875000 1767781912.4505
MEM 1209.488281 1767781912.5523
MEM 1211.800781 1767781912.6531
MEM 1214.058594 1767781912.7619
MEM 1217.535156 1767781912.8729
MEM 1211.699219 1767781912.9866
MEM 1211.699219 1767781913.0874
MEM 1218.449219 1767781913.1930
MEM 1218.449219 1767781913.3046
MEM 1218.449219 1767781913.4121
MEM 1209.445312 1767781913.5186
MEM 1213.390625 1767781913.6226
MEM 1238.230469 1767781913.7238
MEM 1211.191406 1767781913.8244
MEM 1218.546875 1767781913.9280
MEM 1238.878906 1767781914.0290
MEM 1216.882812 1767781914.1296
MEM 1225.351562 1767781914.2316
MEM 1218.453125 1767781914.3326
MEM 1218.453125 1767781914.4332
MEM 1209.449219 1767781914.5351
MEM 1210.054688 1767781914.6417
MEM 1212.367188 1767781914.7450
MEM 1213.507812 1767781914.8495
MEM 1239.703125 1767781914.9521
MEM 1216.312500 1767781915.0533
MEM 1218.628906 1767781915.1632
MEM 1218.457031 1767781915.2798
MEM 1218.457031 1767781915.3822
MEM 1218.457031 1767781915.4928
MEM 1209.503906 1767781915.6017
MEM 1210.632812 1767781915.7034
MEM 1212.949219 1767781915.8036
MEM 1215.824219 1767781915.9086
MEM 1219.460938 1767781916.0165
MEM 1211.710938 1767781916.1223
MEM 1214.101562 1767781916.2323
MEM 1218.460938 1767781916.3385
MEM 1218.460938 1767781916.4392
MEM 1218.460938 1767781916.5468
MEM 1214.960938 1767781916.6612
MEM 1211.804688 1767781916.7740
MEM 1217.210938 1767781916.8810
MEM 1218.062500 1767781916.9929
MEM 1220.375000 1767781917.1179
MEM 1214.105469 1767781917.2333
MEM 1218.464844 1767781917.3353
MEM 1218.464844 1767781917.4374
MEM 1218.464844 1767781917.5480
MEM 1214.785156 1767781917.6653
MEM 1219.085938 1767781917.7669
MEM 1217.890625 1767781917.8789
MEM 1221.199219 1767781917.9964
MEM 1211.718750 1767781918.1067
MEM 1214.109375 1767781918.2111
MEM 1218.468750 1767781918.3164
MEM 1218.468750 1767781918.4221
MEM 1218.468750 1767781918.5329
MEM 1209.472656 1767781918.6394
MEM 1213.234375 1767781918.7549
MEM 1214.125000 1767781918.8584
MEM 1218.734375 1767781918.9594
MEM 1220.257812 1767781919.0604
MEM 1211.722656 1767781919.1645
MEM 1218.472656 1767781919.2730
MEM 1218.472656 1767781919.3791
MEM 1218.472656 1767781919.4891
MEM 1209.468750 1767781919.5899
MEM 1211.804688 1767781919.7002
MEM 1212.941406 1767781919.8065
MEM 1212.941406 1767781919.9074
MEM 1238.574219 1767781920.0189
MEM 1261.164062 1767781920.1276
MEM 1210.093750 1767781920.2289
MEM 1214.453125 1767781920.3345
MEM 1214.453125 1767781920.4348
MEM 1214.453125 1767781920.5360
MEM 1205.460938 1767781920.6412
MEM 1207.238281 1767781920.7450
MEM 1209.492188 1767781920.8582
MEM 1213.281250 1767781920.9679
MEM 1236.351562 1767781921.0862
MEM 1215.808594 1767781921.1922
MEM 1214.457031 1767781921.2936
MEM 1214.117188 1767781921.3946
MEM 1214.457031 1767781921.4952
MEM 1205.453125 1767781921.6047
MEM 1209.824219 1767781921.7061
MEM 1209.644531 1767781921.8065
MEM 1211.632812 1767781921.9072
MEM 1219.785156 1767781922.0078
MEM 1246.355469 1767781922.1091
MEM 1219.308594 1767781922.2110
MEM 1221.773438 1767781922.3134
MEM 1211.023438 1767781922.4142
MEM 1210.886719 1767781922.5149
MEM 1212.589844 1767781922.6161
MEM 1226.203125 1767781922.7176
MEM 1214.316406 1767781922.8187
MEM 1207.953125 1767781922.9211
MEM 1211.156250 1767781923.0233
MEM 1216.988281 1767781923.1244
MEM 1220.554688 1767781923.2248
MEM 1220.457031 1767781923.3259
MEM 1221.644531 1767781923.4270
MEM 1223.367188 1767781923.5285
MEM 1214.957031 1767781923.6308
MEM 1215.707031 1767781923.7327
MEM 1216.871094 1767781923.8378
MEM 1218.726562 1767781923.9390
MEM 1218.617188 1767781924.0395
MEM 1222.574219 1767781924.1405
MEM 1224.324219 1767781924.2413
MEM 1226.074219 1767781924.3421
MEM 1219.785156 1767781924.4433
MEM 1224.144531 1767781924.5481
MEM 1224.144531 1767781924.6493
MEM 1224.144531 1767781924.7521
MEM 1223.910156 1767781924.8526
MEM 1217.878906 1767781924.9539
MEM 1216.328125 1767781925.0549
MEM 1218.640625 1767781925.1568
MEM 1238.582031 1767781925.2583
MEM 1259.140625 1767781925.3607
MEM 1228.019531 1767781925.4615
MEM 1223.773438 1767781925.5623
MEM 1225.460938 1767781925.6642
MEM 1219.789062 1767781925.7648
MEM 1224.148438 1767781925.8653
MEM 1224.148438 1767781925.9663
MEM 1224.148438 1767781926.0674
MEM 1215.148438 1767781926.1697
MEM 1219.082031 1767781926.2731
MEM 1218.078125 1767781926.3748
MEM 1220.316406 1767781926.4753
MEM 1223.234375 1767781926.5764
MEM 1226.132812 1767781926.6780
MEM 1226.957031 1767781926.7795
MEM 1217.968750 1767781926.8822
